state+city+zip+pop+loc
MA+AGAWAM+1001+15338+[-72.622739, 42.070206]
MA+CUSHMAN+1002+36963+[-72.51565, 42.377017]
MA+BARRE+1005+4546+[-72.108354, 42.409698]
MA+BELCHERTOWN+1007+10579+[-72.410953, 42.275103]
MA+BLANDFORD+1008+1240+[-72.936114, 42.182949]
MA+BRIMFIELD+1010+3706+[-72.188455, 42.116543]
MA+CHESTER+1011+1688+[-72.988761, 42.279421]
MA+CHESTERFIELD+1012+177+[-72.833309, 42.38167]
MA+CHICOPEE+1013+23396+[-72.607962, 42.162046]
MA+CHICOPEE+1020+31495+[-72.576142, 42.176443]
MA+WESTOVER AFB+1022+1764+[-72.558657, 42.196672]
MA+CUMMINGTON+1026+1484+[-72.905767, 42.435296]
MA+MOUNT TOM+1027+16864+[-72.679921, 42.264319]
MA+EAST LONGMEADOW+1028+13367+[-72.505565, 42.067203]
MA+FEEDING HILLS+1030+11985+[-72.675077, 42.07182]
MA+GILBERTVILLE+1031+2385+[-72.198585, 42.332194]
MA+GOSHEN+1032+122+[-72.844092, 42.466234]
MA+GRANBY+1033+5526+[-72.520001, 42.255704]
MA+TOLLAND+1034+1652+[-72.908793, 42.070234]
MA+HADLEY+1035+4231+[-72.571499, 42.36062]
MA+HAMPDEN+1036+4709+[-72.431823, 42.064756]
MA+HATFIELD+1038+3184+[-72.616735, 42.38439]
MA+HAYDENVILLE+1039+1387+[-72.703178, 42.381799]
MA+HOLYOKE+1040+43704+[-72.626193, 42.202007]
MA+HUNTINGTON+1050+2084+[-72.873341, 42.265301]
MA+LEEDS+1053+1350+[-72.703403, 42.354292]
MA+LEVERETT+1054+1748+[-72.499334, 42.46823]
MA+LUDLOW+1056+18820+[-72.471012, 42.172823]
MA+MONSON+1057+8194+[-72.319634, 42.101017]
MA+FLORENCE+1060+27939+[-72.654245, 42.324662000000004]
MA+OAKHAM+1068+1503+[-72.051265, 42.348033]
MA+PALMER+1069+9778+[-72.328785, 42.176233]
MA+PLAINFIELD+1070+571+[-72.918289, 42.514393]
MA+RUSSELL+1071+608+[-72.840343, 42.147063]
MA+SHUTESBURY+1072+1533+[-72.421342, 42.481968]
MA+SOUTHAMPTON+1073+4478+[-72.719381, 42.224697]
MA+SOUTH HADLEY+1075+16699+[-72.581137, 42.237537]
MA+SOUTHWICK+1077+7667+[-72.770588, 42.051099]
MA+THREE RIVERS+1080+2425+[-72.362352, 42.181894]
MA+WALES+1081+1732+[-72.204592, 42.062734]
MA+WARE+1082+9808+[-72.258285, 42.261831]
MA+MONTGOMERY+1085+40117+[-72.754318, 42.129484]
MA+WEST SPRINGFIELD+1089+27537+[-72.641109, 42.115066]
MA+WEST WARREN+1092+4441+[-72.203639, 42.20734]
MA+WILBRAHAM+1095+12635+[-72.446415, 42.124506]
MA+WILLIAMSBURG+1096+2295+[-72.777989, 42.408522]
